cycle_label,fit_name,flag,phase
Cycle 1,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,baseline
Cycle 1,baseline_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,baseline
Cycle 1,baseline_D1_free_equilibrium,KAPPA_NOT_PRACTICALLY_IDENTIFIABLE,baseline
Cycle 1,baseline_D1_free_equilibrium,EQUILIBRIUM_NOT_PRACTICALLY_IDENTIFIABLE,baseline
Cycle 1,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,accumulation
Cycle 1,accumulation_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,accumulation
Cycle 1,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,rapid_removal
Cycle 1,rapid_removal_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,rapid_removal
Cycle 1,rapid_removal_D1_free_equilibrium,DESCRIPTIVE_ONLY_SMALL_N,rapid_removal
Cycle 1,D2_fixed_pre_event_baseline_floor,DESCRIPTIVE_ONLY_SMALL_N,rapid_removal
Cycle 1,D3_fixed_post_event_floor,DESCRIPTIVE_ONLY_SMALL_N,rapid_removal
Cycle 1,D4_endpoint_pre_event_baseline_floor,FIT_OK,rapid_removal
Cycle 1,D4_endpoint_post_event_floor,FIT_OK,rapid_removal
Cycle 1,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,post_event
Cycle 1,post_event_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,post_event
Cycle 2,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,baseline
Cycle 2,baseline_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,baseline
Cycle 2,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,accumulation
Cycle 2,accumulation_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,accumulation
Cycle 2,D0_descriptive_linear_trend,FIT_OK,rapid_removal
Cycle 2,rapid_removal_D1_free_equilibrium,PARAMETER_AT_BOUNDARY,rapid_removal
Cycle 2,rapid_removal_D1_free_equilibrium,DESCRIPTIVE_ONLY_SMALL_N,rapid_removal
Cycle 2,D2_fixed_pre_event_baseline_floor,DESCRIPTIVE_ONLY_SMALL_N,rapid_removal
Cycle 2,D3_fixed_post_event_floor,DESCRIPTIVE_ONLY_SMALL_N,rapid_removal
Cycle 2,D4_endpoint_pre_event_baseline_floor,NOT_IDENTIFIABLE,rapid_removal
Cycle 2,D4_endpoint_post_event_floor,NOT_IDENTIFIABLE,rapid_removal
Cycle 2,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,post_event
Cycle 2,post_event_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,post_event
