D1_kappa_h_minus_1,D2_endpoint_kappa_h_minus_1,D2_kappa_h_minus_1,D3_endpoint_kappa_h_minus_1,D3_kappa_h_minus_1,boundary_shift_h,cycle_label,elapsed_hours,end_timestamp,final_removal_concentration_bq_m3,half_time_h,initial_removal_concentration_bq_m3,observation_count,rmse,start_timestamp,status
0.260837,0.455742,0.283008,0.464679,0.28489,-2,Cycle 1,5.0,2024-05-30T01:47:00+00:00,33.0,2.449216,212.0,6,61.496982,2024-05-29T20:47:00+00:00,FIT_OK
0.501953,0.600315,0.551525,0.61163,0.555732,-1,Cycle 1,4.0,2024-05-30T01:47:00+00:00,33.0,1.256783,238.0,5,45.288642,2024-05-29T21:47:00+00:00,FIT_OK
2.405294,0.785296,1.793076,0.800314,1.827595,0,Cycle 1,3.0,2024-05-30T01:47:00+00:00,33.0,0.386569,228.0,4,9.867962,2024-05-29T22:47:00+00:00,FIT_OK
4.0,0.246279,0.553839,0.256084,0.591616,1,Cycle 1,2.0,2024-05-30T01:47:00+00:00,33.0,1.251533,46.0,3,8.253991,2024-05-29T23:47:00+00:00,FIT_OK
,NOT_IDENTIFIABLE,2.5e-05,NOT_IDENTIFIABLE,2.5e-05,2,Cycle 1,1.0,2024-05-30T01:47:00+00:00,33.0,27725.887222,21.0,2,8.48543,2024-05-30T00:47:00+00:00,FIT_OK
0.254933,NOT_IDENTIFIABLE,0.300165,NOT_IDENTIFIABLE,0.278605,-2,Cycle 2,6.0,2024-06-14T01:44:00+00:00,11.0,2.309218,228.0,7,46.873211,2024-06-13T19:44:00+00:00,FIT_OK
0.31161,NOT_IDENTIFIABLE,0.377364,NOT_IDENTIFIABLE,0.345815,-1,Cycle 2,5.0,2024-06-14T01:44:00+00:00,11.0,1.836814,190.0,6,46.782373,2024-06-13T20:44:00+00:00,FIT_OK
0.662638,NOT_IDENTIFIABLE,0.845289,NOT_IDENTIFIABLE,0.757357,0,Cycle 2,4.0,2024-06-14T01:44:00+00:00,11.0,0.820012,223.0,5,21.288989,2024-06-13T21:44:00+00:00,FIT_OK
1.843738,NOT_IDENTIFIABLE,2.321573,NOT_IDENTIFIABLE,1.613123,1,Cycle 2,3.0,2024-06-14T01:44:00+00:00,11.0,0.298568,143.0,4,6.970683,2024-06-13T22:44:00+00:00,FIT_OK
0.397201,NOT_IDENTIFIABLE,1.817396,NOT_IDENTIFIABLE,0.763888,2,Cycle 2,2.0,2024-06-14T01:44:00+00:00,11.0,0.381396,35.0,3,8.014241,2024-06-13T23:44:00+00:00,FIT_OK
