MAE,RMSE,bias,common_target_count,experiment,forecast_mode,horizon,model
13.088,18.786,0.668,167,Experiment A,F1_no_future_event_knowledge,1h,reduced_state_space
14.814,22.293,-0.012,167,Experiment A,F1_no_future_event_knowledge,1h,persistence
13.838,23.13,0.066,167,Experiment A,F1_no_future_event_knowledge,1h,rolling_mean_3
14.374,21.662,0.526,167,Experiment A,F1_no_future_event_knowledge,1h,ridge_autoregressive
16.401,24.533,2.125,165,Experiment A,F1_no_future_event_knowledge,3h,reduced_state_space
18.309,31.354,0.079,165,Experiment A,F1_no_future_event_knowledge,3h,persistence
18.828,33.672,0.194,165,Experiment A,F1_no_future_event_knowledge,3h,rolling_mean_3
19.053,31.246,1.403,165,Experiment A,F1_no_future_event_knowledge,3h,ridge_autoregressive
24.704,38.636,5.945,162,Experiment A,F1_no_future_event_knowledge,6h,reduced_state_space
25.914,44.404,0.358,162,Experiment A,F1_no_future_event_knowledge,6h,persistence
26.364,45.395,0.422,162,Experiment A,F1_no_future_event_knowledge,6h,rolling_mean_3
26.506,42.702,2.82,162,Experiment A,F1_no_future_event_knowledge,6h,ridge_autoregressive
13.345,20.037,-0.464,167,Experiment A,F2_known_intervention_scenario,1h,reduced_state_space
14.814,22.293,-0.012,167,Experiment A,F2_known_intervention_scenario,1h,persistence
13.838,23.13,0.066,167,Experiment A,F2_known_intervention_scenario,1h,rolling_mean_3
14.374,21.662,0.526,167,Experiment A,F2_known_intervention_scenario,1h,ridge_autoregressive
15.72,22.19,-0.059,165,Experiment A,F2_known_intervention_scenario,3h,reduced_state_space
18.309,31.354,0.079,165,Experiment A,F2_known_intervention_scenario,3h,persistence
18.828,33.672,0.194,165,Experiment A,F2_known_intervention_scenario,3h,rolling_mean_3
19.053,31.246,1.403,165,Experiment A,F2_known_intervention_scenario,3h,ridge_autoregressive
20.909,27.505,0.582,162,Experiment A,F2_known_intervention_scenario,6h,reduced_state_space
25.914,44.404,0.358,162,Experiment A,F2_known_intervention_scenario,6h,persistence
26.364,45.395,0.422,162,Experiment A,F2_known_intervention_scenario,6h,rolling_mean_3
26.506,42.702,2.82,162,Experiment A,F2_known_intervention_scenario,6h,ridge_autoregressive
13.987,21.633,0.389,191,Experiment B,F1_no_future_event_knowledge,1h,reduced_state_space
14.775,23.102,0.01,191,Experiment B,F1_no_future_event_knowledge,1h,persistence
14.583,24.915,-0.01,191,Experiment B,F1_no_future_event_knowledge,1h,rolling_mean_3
14.604,23.086,-0.722,191,Experiment B,F1_no_future_event_knowledge,1h,ridge_autoregressive
18.523,28.269,0.712,189,Experiment B,F1_no_future_event_knowledge,3h,reduced_state_space
19.026,33.296,0.053,189,Experiment B,F1_no_future_event_knowledge,3h,persistence
18.843,33.539,0.049,189,Experiment B,F1_no_future_event_knowledge,3h,rolling_mean_3
20.191,32.884,-1.86,189,Experiment B,F1_no_future_event_knowledge,3h,ridge_autoregressive
26.869,38.336,2.587,186,Experiment B,F1_no_future_event_knowledge,6h,reduced_state_space
24.806,42.545,0.075,186,Experiment B,F1_no_future_event_knowledge,6h,persistence
25.308,42.632,0.039,186,Experiment B,F1_no_future_event_knowledge,6h,rolling_mean_3
28.083,41.084,-3.943,186,Experiment B,F1_no_future_event_knowledge,6h,ridge_autoregressive
13.06,17.389,-0.538,191,Experiment B,F2_known_intervention_scenario,1h,reduced_state_space
14.775,23.102,0.01,191,Experiment B,F2_known_intervention_scenario,1h,persistence
14.583,24.915,-0.01,191,Experiment B,F2_known_intervention_scenario,1h,rolling_mean_3
14.604,23.086,-0.722,191,Experiment B,F2_known_intervention_scenario,1h,ridge_autoregressive
16.713,21.703,-1.164,189,Experiment B,F2_known_intervention_scenario,3h,reduced_state_space
19.026,33.296,0.053,189,Experiment B,F2_known_intervention_scenario,3h,persistence
18.843,33.539,0.049,189,Experiment B,F2_known_intervention_scenario,3h,rolling_mean_3
20.191,32.884,-1.86,189,Experiment B,F2_known_intervention_scenario,3h,ridge_autoregressive
22.672,27.392,-1.926,186,Experiment B,F2_known_intervention_scenario,6h,reduced_state_space
24.806,42.545,0.075,186,Experiment B,F2_known_intervention_scenario,6h,persistence
25.308,42.632,0.039,186,Experiment B,F2_known_intervention_scenario,6h,rolling_mean_3
28.083,41.084,-3.943,186,Experiment B,F2_known_intervention_scenario,6h,ridge_autoregressive
